"Timestamp","¿Cuál es tu genero?","¿Qué edad tienes?","¿De dónde es tu procedencia?","¿Estudiaste sistemas por elección propia?","¿Estudiaste carreras simultaneas?","¿Te cambiaste de carrera?","¿Fuiste Becado?","¿Fuiste excelencia académica?","¿Cual fue tu promedio de graduación?","¿Trabajaste y estudiaste?","En promedio ¿Cuantas clases por periodo llevabas?","¿Cuantos años tardaste en graduarte de ingeniería en sistemas?","En general, ¿ Los ingenieros con los que metiste clases eran buenos dando la clase?","¿Estás satisfecho con los conocimientos que te impartieron en la universidad?","¿Qué herramientas y tecnologías aprendiste en la universidad?","¿Qué herramientas y tecnologías aprendiste por tu cuenta?","¿Estuviste en actividades extracurriculares como ser deportes, hackathon, Honduras startup, etc.?","¿Cuáles son las áreas que menos te gustaron de ingeniería en sistemas?","¿Cuales fueron las áreas que mas te gustaron de ingeniera en sistemas?","¿Te sentiste preparado al momento de ir a practica profesional?","¿Como era lucia tu portafolio a la hora de ir a la practica profesional?","¿Sentiste que los conocimientos de la practica te ayudaron para entrar al mercado laboral?","¿Cual fue tu año de graduación?","¿Cual fue tu mes de graduación?","¿Habías trabajado en algo relacionado a la carrera antes de graduarte?","¿Te gustó tu lugar de práctica?","¿Te ofrecieron quedarte en la empresa donde realizaste tu práctica?","¿Trabajas o trabajaste donde realizaste tu práctica?","En tu experiencia, ¿qué herramientas consideras más importantes en el mercado actual?","Después de graduarte ¿ Has estado actualizándote en las nuevas tecnologías?","¿Actualmente tienes trabajo?","Si tienes trabajo ¿Tu trabajo actual esta relacionado a la ingeniería en sistemas?","¿Cuántos meses estuviste desempleado después de tu graduación?","¿Trabajas en tu área de preferencia?","¿Tenías trabajo antes de graduarte?","¿Cuál era tu nivel de inglés antes de tu graduación?","¿Cuánto conocías del desarrollo del software antes de graduarte?","¿Cuánto conocías de infraestructura de red antes de graduarte?","¿Cuánto conocías de manejo de servidores antes de graduarte?","¿Cuánto conocías  del diseño de software antes de graduarte?","¿Cuánto conocías de administración de empresas antes de graduarte?","¿Te gustaba liderar proyectos antes de graduarte?","¿Qué tan proactivo te considerabas antes de graduarte?","¿Utilizabas tu tiempo libre para aprender herramientas por tu cuenta cuando seguías en la universidad?","¿Eras buen expositor?","¿Eras buen negociador?","¿Acostumbrabas a ser coordinador en tus grupos en las clases de la universidad?","¿Te consideras introvertido?","¿Te consideras competitivo?","¿Te molestas con facilidad?"
"2020/04/09 6:47:31 PM CDT","Hombre","23","Tegucigalpa","No","No","Sí","No","No","77","No","4","5","El 60% eran buenos dando la clase","Sí","Las básicas","Las mas específicas","Sí","Electrónica","Programación","Sí","Sobrio","Sí","2020","2","Sí","Sí","Sí","Si","Desarrollo","Sí","Sí","Sí","0","Sí","Sí","3","3","2","2","4","3","Sí","5","Sí","Si","Sí","No","No","Sí","No"
"2020/04/09 8:03:21 PM CDT","Hombre","27","Tegucigalpa","Sí","No","No","No","Sí","82","Sí","4","7","El 70% eran buenos dando la clase","Sí","Las suficientes.","Varias, las herramientas dependen del proyecto que se desarrolle.","Sí","Redes","Programación;Electrónica;Administración","Sí","Muy bien, lo considero así gracias a la experiencia profesional. Ya había trabajado entonces ya sabía cómo era el asunto. 
Sin embargo, daré una opinión: 
Considero que la práctica profesional es innecesaria para estudiantes que tienen más de dos años de experiencia laboral y han sido contratados en más de dos compañías. (Más de dos compañías porque hay personas que sólo han trabajado en una empresa y muchas veces no saben trabajar con gente de distinta cultura).","No","2020","2","Sí","Sí","Sí","Si","Las herramientas dependen del proyecto. 
Sin embargo, considero importante el hecho de manejar cloud services de cualquier proveedor. 
También manejar Frameworks de Javascript (React, Angular, Vue) y liberías Javascript (como lodash, peg.js, moment, etc.). 
Por otra parte, considero muy importante saber crear servidores con API's REST y comprender la arquitectura SOAP. (Node.js, GO Lang, Java)
Las herramientas para crear Apps móviles también están muy de moda y es un mercado sostenible. (Xcode para iOS, Android Studio para Android)
Las PWA también son un concepto importante, hacen que el proyecto sea escalable.
Una cosa bien importante que tienen que entender los profesionales de la Ingeniería en Sistemas es aprender a buscar documentación oficial (sí, de la mano quien hizo la herramienta), y saber leerla. Por ejemplo, las sintaxis de las sentencias SQL en Oracle Database, SQL Server o SAP HANA están en notación de expresiones regulares y he visto algunos colegas quedar confundidos o no saberlo interpretar. (Lo siento, lo tenía que decir)","Sí","Sí","Sí","0","Sí","Sí","3","4","3","4","4","5","Sí","5","Sí","Si","Sí","Sí","No","No","No"
"2020/04/09 8:44:13 PM CDT","Hombre","38","Tegucigalpa","Sí","No","No","No","Sí","83","Sí","4","7","El 90% eran buenos dando la clase","Sí","Herramientas de desarrollo Netbeans, eclipse, visual estudio2012 , visual estudio code, lesguajes de programacion JAVA, C#, C++, PHP, NODEJS, Frameworks como Boostrap para CSS, Jquery. ORACLE, Mysql, HTML, CSS, ","CRISTAL REPORTS, LISP, STARUML, SQL SERVER, REACT, PACKET TRACER","No","Programación","Redes;Electrónica;Administración","Sí","CON LO BASICO","No","2020","2","Sí","Sí","No","No","JAVA, .NET Y  DESARROLLO WEB","Sí","No","","2","No","No","2","3","3","1","1","3","Sí","5","Sí","Si","Sí","Sí","No","Sí","No"
"2020/04/10 3:53:50 AM CDT","Hombre","25","Tegucigalpa ","Sí","No","No","No","Sí","80","No","4","7","El 40%  o menos eran buenos dando la clase","No","Desarrollo web y de escritorio, metodologías agiles, bases de datos,  entre otros","Frameworks de programación (laravel, angular), arquitectura MVC, desarrollo web con java, etc","Sí","Redes","Programación;Administración","Sí","Bien, los certificados de cursos externos ayudaron mucho","Sí","2020","2","No","Sí","Sí","Si","Desarrollo web y movil con el uso de frameworks actuales, metodologías ágiles, inteligencia artificial y bigdata","Sí","Sí","Sí","0","Sí","Sí","3","4","2","1","5","4","Sí","4","Sí","No","Sí","Sí","Sí","Sí","No"
"2020/04/10 5:50:49 PM CDT","Mujer","23","La Esperanza, Intibucá","Sí","No","No","No","Sí","81","No","4","6","El 70% eran buenos dando la clase","No","Programación en Python y programación web con Node Js, Javascript, css, herramientas de organización para la implementación de metodologías ágiles, diseño y normalización de diagramas de bases de datos, gestores de base de datos, buenas practicas en el diseño de sistemas, conocimientos básicos de estándares y normas internacionales de seguridad informática y para la gestión de proyectos, entre otros.","Programación en PHP, herramientas o plugins que mejoran la experiencia del usuario, simuladores de redes y circuitos.","Sí","Electrónica","Redes;Administración","Sí","Mi portafolio no era muy grande, describía mis conocimientos y experiencia que había obtenido en la implementación de proyectos de la universidad, a pesar de no ser tan extenso cumplía con los requisitos para el puesto al que deseaba aplicar.","Sí","","","No","Sí","Sí","Si","Los conocimientos en programación orientado a objetos, manejo y diseño de base de datos,   diseño de sistemas, manejo de herramientas de diseño, presentaciones visuales, herramientas ofimáticas, entre otras, que te ayuden a compartir y exponer tu trabajo de una forma mas profesional y que capte la atención de los usuarios. Tratar en la medida de lo posible conocer las tendencias actuales y conocer cuales se pueden adoptar para aumentar la productividad y eficiencia de los sistemas.","Sí","Sí","Sí","0","Sí","Sí","3","3","2","2","3","3","No","3","No","No","No","Sí","No","Sí","No"
"2020/04/12 10:55:14 AM CDT","Mujer","30","Tegucigalpa","Sí","No","No","No","No","78","Sí","4","9","El 70% eran buenos dando la clase","No","Programación web ","RPG ","No","Electrónica;Administración","Programación;Redes","No","Regular ","Sí","2020","2","Sí","Sí","No","No","Desarrollo de Software ","Sí","Sí","Sí","0","Sí","Sí","4","3","4","3","3","4","Sí","4","Sí","Si","Sí","Sí","Sí","Sí","No"
"2020/04/12 2:30:27 PM CDT","Hombre","27","Olancho","Sí","No","No","No","No","79","No","4","7","El 70% eran buenos dando la clase","Sí","Java, C#, C++, PHP, HTML, Ensamblador, MySQL, SQL Server, PostgreSQL, Ionic, ","Complemente las tecnologías aprendidas en la Universidad.","No","Administración","Programación;Redes;Electrónica","Sí","Bien","No","2019","3","No","Sí","No","No","JavaScript, SQL Server","Sí","Sí","Sí","2","Sí","No","3","3","3","3","3","3","Sí","5","Sí","Si","Sí","Sí","No","Sí","Sí"
"2020/04/12 2:35:34 PM CDT","Hombre","29","Tegucigalpa","Sí","No","No","No","No","74","Sí","4","10","El 60% eran buenos dando la clase","No","Ionic2, Windows server r12","As400, webex, CCNA.","Sí","Programación","Redes;Electrónica;Administración","No","Bastante mal.","Sí","2019","9","Sí","No","No","No","Inteligencia de negocios, análisis de datos.","Sí","Sí","Sí","0","Sí","Sí","3","3","4","3","2","4","Sí","4","Sí","Si","Sí","Sí","No","Sí","Sí"
"2020/04/12 2:38:06 PM CDT","Hombre","28","Intibucá","Sí","No","Sí","No","No","75","No","4","8","El 50% eran buenos dando la clase","Sí","Java ","Php","No","Administración","Programación;Electrónica","No","Regular","No","2019","4","Sí","No","No","No","Herramientas de programación","Sí","Sí","Sí","6","Sí","No","3","3","2","3","4","3","No","3","No","No","Sí","No","Sí","Sí","No"
"2020/04/12 2:42:58 PM CDT","Mujer","31","Tegucigalpa ","Sí","No","No","No","No","77","Sí","3","9","El 40%  o menos eran buenos dando la clase","Sí","Lenguajes de programación ","Otros lenguajes de programación","Sí","Redes","Programación;Administración","Sí","No entiendo la pregunta. Mi currículo tenía mucha experiencia adquirida fuera de la universidad. De trabajos anteriores","Sí","2019","3","Sí","Sí","Sí","Si","Desarrollo de aplicaciones móviles y web","Sí","Sí","Sí","1","Sí","Sí","3","4","2","2","4","3","Sí","4","Sí","Si","Sí","No","Sí","No","Sí"
"2020/04/12 3:58:54 PM CDT","Mujer","28","Francisco Morazan","Sí","No","Sí","No","No","2019","No","4","8","El 70% eran buenos dando la clase","No","programacion web y desarrollo en dispositivos moviles","javascript , php , angular ","No","Redes;Electrónica","Programación;Administración","Sí","basico","Sí","2019","03","No","Sí","No","No","la programacion web y el desarrollo en dispositivos moviles como tambien manejo de bases de datos","Sí","Sí","Sí","1","Sí","Sí","2","3","3","1","4","4","Sí","3","No","Si","No","Sí","Sí","Sí","No"
"2020/04/13 7:27:47 AM CDT","Mujer","24","Tegucigalpa","Sí","No","No","No","Sí","79","No","5","6","El 70% eran buenos dando la clase","No","Programación web","Programación móvil","Sí","Redes;Administración","Programación;Electrónica","No","No estaba tan lleno como esperaba","Sí","2019","9","No","Sí","No","No","Control de calidad, desarrollo móvil híbrido","Sí","Sí","Sí","3","Sí","No","4","2","2","2","3","3","Sí","4","No","No","No","Sí","Sí","Sí","No"
"2020/04/13 9:28:32 PM CDT","Hombre","25","Tegucigalpa","Sí","No","No","Sí","Sí","81","No","4","6","El 60% eran buenos dando la clase","Sí","Lenguajes de programación (Java, JavaScript, SQL) inteligencia de negocio","Web services, JavaScript, HTML, Apex","No","Administración","Programación;Redes","No","No se entiende la pregunta ","Sí","2019","11","Sí","Sí","Sí","Si","Inteligencia de Negocios, programación, inteligencia emocional, Desenvolvimiento social","No","Sí","Sí","11","Sí","Sí","4","3","2","2","4","3","Sí","3","No","Si","No","Sí","Sí","Sí","Sí"
"2020/04/14 5:45:15 PM CDT","Hombre","30","Tegucigalpa, Francisco Morazan","Sí","No","No","No","No","78","No","4","9","El 70% eran buenos dando la clase","No","Cosas básicas nada mas","React Native, Sass, Firebase","No","Administración","Programación;Redes;Electrónica","No","Regular","Sí","","3","Sí","Sí","Sí","Si","Angular, React, BackEnd","No","Sí","Sí","0","Sí","No","2","2","3","2","3","2","No","4","Sí","No","No","Sí","Sí","No","Sí"
"2020/04/15 6:39:50 PM CDT","Hombre","30","Tegucigalpa M.D.C.","Sí","Sí","No","No","No","75","Sí","4","8","El 50% eran buenos dando la clase","No","Node.js, HTML5, CSS3, Java, Python, C, C++, C#, Oracle, SQLServer, MySql, ASM, entre otras","Arduino, PHP, FLASH, Linux S.O. y servidores, Odoo, PosgreSql, javascript más a profundidad, Vue.js, entre otros","Sí","Redes","Programación;Electrónica;Administración","Sí","A mi parecer me faltaban conocimientos especializados en herramientas puntuales, que se usan en la empresa o que nosotros adquirimos conocimientos muy a media dificultad, que aprendí durante la práctica y que afecta al desempeño inmediato dentro del tiempo de práctica.","Sí","2019","1","Sí","No","Sí","Si","Herramientas web, enfocadas en el front end, con conocimientos básicos de back end y Java y todas las vertientes, Javascript, Java de escritorio, además herramientas de versionado, repositorio, como github y herramientas de contenedores de imágenes y creación de imágenes, como Docker y de preferencia usando administradores de contenedores, como KUBERNET y muy importante, aprender a crear, consumir y administrar servicios web.","Sí","Sí","Sí","0","Sí","Sí","5","4","2","2","4","4","Sí","4","Sí","Si","No","No","No","Sí","No"
"2020/04/15 6:40:01 PM CDT","Hombre","30","Tegucigalpa M.D.C.","Sí","Sí","No","No","No","75","Sí","4","8","El 50% eran buenos dando la clase","No","Node.js, HTML5, CSS3, Java, Python, C, C++, C#, Oracle, SQLServer, MySql, ASM, entre otras","Arduino, PHP, FLASH, Linux S.O. y servidores, Odoo, PosgreSql, javascript más a profundidad, Vue.js, entre otros","Sí","Redes","Programación;Electrónica;Administración","Sí","A mi parecer me faltaban conocimientos especializados en herramientas puntuales, que se usan en la empresa o que nosotros adquirimos conocimientos muy a media dificultad, que aprendí durante la práctica y que afecta al desempeño inmediato dentro del tiempo de práctica.","Sí","2019","1","Sí","No","Sí","Si","Herramientas web, enfocadas en el front end, con conocimientos básicos de back end y Java y todas las vertientes, Javascript, Java de escritorio, además herramientas de versionado, repositorio, como github y herramientas de contenedores de imágenes y creación de imágenes, como Docker y de preferencia usando administradores de contenedores, como KUBERNET y muy importante, aprender a crear, consumir y administrar servicios web.","Sí","Sí","Sí","0","Sí","Sí","5","4","2","2","4","4","Sí","4","Sí","Si","No","No","No","Sí","No"
"2020/04/16 5:27:33 PM CDT","Hombre","27","Tegucigalpa","Sí","No","Sí","No","No","79","Sí","4","6","El 50% eran buenos dando la clase","No","POO, Bases de datos, PHP, Sql Server, Javascript","Angular, CSS, mongo","Sí","Redes;Administración","Programación","No","No tenía portafolio","Sí","2018","3","No","Sí","Sí","Si","Programación, metodologías ágiles","Sí","Sí","Sí","0","Sí","Sí","1","2","1","1","1","1","Sí","3","Sí","Si","No","No","No","Sí","No"
"2020/04/16 5:30:32 PM CDT","Hombre","29","Tegucigalpa","Sí","No","No","No","No","72","No","4","6","El 70% eran buenos dando la clase","No","C#, Java, Python, Visual Studio, SQL Server ","HTML y CSS","Sí","Redes;Administración","Programación;Electrónica","No","Novato","Sí","2016","10","No","Sí","No","No","Desarrollo Web, Mobile y Agile","Sí","Sí","Sí","3","Sí","No","3","2","2","1","2","1","Sí","3","Sí","Si","No","Sí","Sí","No","No"
"2020/04/16 5:38:20 PM CDT","Mujer","30","Tegucigalpa","Sí","No","No","No","No","69","Sí","3","7","El 40%  o menos eran buenos dando la clase","No","Dreamweaver","SQL server","No","Programación","Redes;Electrónica;Administración","No","Con muy poca experiencia","Sí","2017","4","Sí","Sí","Sí","Si","Actualmente el desarrollo web es muy importante y en la universidad estaba solamente como una optativa","Sí","Sí","Sí","0","Sí","Sí","2","3","3","2","2","2","No","3","Sí","Si","No","No","Sí","No","Sí"
"2020/04/17 7:54:58 AM CDT","Hombre","26","Intibuca ","Sí","No","No","No","Sí","80","No","5","7","El 70% eran buenos dando la clase","Sí","SQL, PHP, JAVA","CSS, PYTHON","No","Electrónica","Programación;Redes;Administración","Sí","Bien ","Sí","2020","02","No","Sí","No","No","SQL","No","Sí","Sí","0","Sí","Sí","3","4","3","3","3","3","Sí","4","No","Si","Sí","No","No","Sí","No"
"2020/04/17 8:56:21 AM CDT","Mujer","26","Tegucigalpa","Sí","No","Sí","No","No","79","No","4","5","El 50% eran buenos dando la clase","No","SQL server","Devops, R studio","No","Electrónica;Administración","Programación;Redes","No","Sin experiencia laboral","Sí","2019","11","No","Sí","Sí","Si","Todas los que nos proporciona las plataforma en las nubes","Sí","Sí","Sí","0","Sí","No","1","2","1","3","3","3","No","4","Sí","No","Sí","Sí","No","Sí","Sí"
"2020/04/17 9:00:42 AM CDT","Hombre","23","Olancho","Sí","No","Sí","Sí","Sí","90","No","4","5","El 60% eran buenos dando la clase","Sí","Java, c++, nodejs, PHP,","C#, Entity framework, oracle","Sí","Electrónica","Programación;Redes","Sí","No comprendo la pregunta, creo que está mal redactada. Te refieres como Lucía mi portafolio en ese momento? Pera la palabra era lucia... No le da sentido a tu pregunta, no queda claro.","Sí","2020","2","No","Sí","Sí","Si","Las que están enfocadas al desarrollo web y aplicaciones móviles","Sí","Sí","Sí","0","Sí","No","1","4","2","2","2","3","Sí","3","No","Si","No","Sí","Sí","Sí","No"
"2020/04/17 9:31:53 AM CDT","Mujer","28","Tegucigalpa","Sí","No","No","No","No","79","Sí","3","8","El 60% eran buenos dando la clase","No","Herramienta obsoletas que en la actualidad no se usan en el campo laboral. ","Java, instalación y configuración de servidores,  fundamentos de redes y seguridad informática","Sí","Electrónica;Administración","Programación;Redes","Sí","Intermedio. Ya trabajaba en el área para entonces. ","Sí","2020","02","Sí","Sí","Sí","Si","Pyton, GeneXus, Java, seguridad ","Sí","Sí","Sí","0","No","Sí","3","3","4","4","2","3","Sí","4","Sí","Si","No","Sí","No","Sí","No"
"2020/04/17 12:00:22 PM CDT","Hombre","23","Tegucigalpa","Sí","No","No","No","No","81","No","4","5","El 60% eran buenos dando la clase","No","MySQL, Oracle, SQL Server, Java, PHP, C, Python","Python (frameworks web y librerías de machine Learning), R, javascript, nodejs y diversos frameworks, PowerBI, mongodb, firebase, flutter, dart, git, Linux","Sí","Redes","Programación;Electrónica","No","Tenía algunos de los proyectos que realicé en diversas clases solamente ","Sí","2020","2","Sí","Sí","Sí","Si","Depende del área, si es desarrollo diría que Java o Javascript y algún framework ","Sí","Sí","Sí","0","Sí","No","5","4","2","3","2","2","Sí","4","Sí","Si","Sí","Sí","No","Sí","No"
"2020/04/17 3:08:58 PM CDT","Hombre","24","Francisco Morazan","Sí","No","No","No","No","77","Sí","4","7","El 70% eran buenos dando la clase","Sí","CISCO packet tracer, AWS, Oracle APEX, SQL developer, MongoDB, Node, PHP, JAVA, C++, JavaScript","React y Angular ","No","Electrónica","Administración","No","Con los conocimientos basicos para aprender nuevas tecnologias y herramientas","Sí","2020","02","No","Sí","Sí","Si","Conocimientos en las herramientas que ofrecen AWS, Microsoft Azure y G Cloud.","Sí","Sí","Sí","0","Sí","Sí","4","3","2","2","4","4","Sí","3","No","Si","Sí","No","No","Sí","No"
"2020/04/17 4:47:58 PM CDT","Hombre","28","Comayagua","Sí","No","Sí","No","Sí","89","Sí","3","8","El 60% eran buenos dando la clase","Sí","Java FX, PHP, MySql, NodeJS","Vue JS, Angular, Ionic, React Native, Feathers, Flutter, Flask, Spring Boot","No","Redes;Administración","Programación","Sí","Tenía experiencia laboral y proyectos en los que había trabajado antes de llegar a práctica ","Sí","2020","02","Sí","No","Sí","Si","Angular y .Net MVC","Sí","Sí","Sí","0","Sí","Sí","3","4","2","2","2","2","Sí","4","Sí","Si","No","Sí","No","Sí","Sí"
"2020/04/17 4:58:43 PM CDT","Hombre","29","Tegucigalpa ","Sí","No","No","Sí","No","74","Sí","3","9","El 50% eran buenos dando la clase","No","Sql server, packet tracer, c#, arena","Lotus, as400, html css, php, cisco, azure, génesis ","Sí","Programación;Electrónica","Redes;Administración","Sí","Bien ","Sí","2019","11","Sí","Sí","Sí","Si","Considero que lo que se enseña en la u es superficial y en los trabajos uno se especializa en el área a la que ingrese ","Sí","Sí","Sí","0","No","Sí","3","2","4","1","2","3","Sí","5","Sí","Si","Sí","Sí","No","Sí","Sí"
